class,nel
0,"[5, 4, 0, 17]"
17,"[11, 17]"
10,"[4, 17]"
14,[14]
17,[17]
17,"[17, 17, 17]"
5,"[5, 17]"
0,"[0, 17, 17]"
17,"[17, 17, 7, 17, 17]"
5,"[5, 17, 17, 17]"
17,"[17, 17, 7, 17, 17]"
14,[14]
5,"[5, 17]"
0,"[0, 17, 17, 17, 17]"
10,"[2, 10, 2, 11, 17, 17]"
0,"[5, 0, 17, 17]"
17,"[0, 17, 0, 17]"
4,"[4, 3, 4]"
17,"[17, 17, 1, 17]"
17,"[17, 17]"
4,"[4, 10, 1, 11, 4, 11, 17]"
0,"[0, 10, 17]"
11,"[6, 10, 1, 11, 17]"
17,"[6, 0, 11, 17, 17, 11, 17]"
17,"[17, 17, 17]"
11,"[4, 11]"
4,"[17, 4, 4, 17, 3]"
17,"[17, 1]"
17,"[17, 0, 17, 0, 17, 17]"
0,"[0, 17, 17]"
1,"[17, 1, 17]"
4,"[4, 17, 17, 17]"
11,[11]
17,"[0, 17, 17, 17]"
4,"[4, 17, 17, 17]"
4,"[4, 0, 11, 17, 17, 17, 17]"
0,"[8, 0, 17]"
11,[11]
17,"[17, 17]"
15,"[15, 14]"
0,"[0, 17, 3]"
17,"[1, 17]"
17,"[1, 17]"
17,"[17, 17, 17]"
17,"[17, 1, 17, 17, 17]"
4,"[4, 17, 17]"
17,"[17, 1]"
17,"[17, 17]"
0,"[0, 17, 17, 17]"
17,"[0, 17, 17, 17]"
17,"[2, 17, 17]"
17,"[0, 17, 17, 17]"
17,"[17, 17, 17, 17]"
0,"[4, 0, 17]"
15,"[15, 1]"
17,"[17, 17]"
17,"[17, 17, 17]"
0,"[0, 9, 9, 0, 17, 17]"
17,"[17, 17, 17]"
17,"[17, 17, 17]"
3,"[3, 1]"
17,"[17, 1, 17]"
14,"[15, 14]"
14,[14]
17,"[17, 17, 17]"
17,"[17, 17, 9, 17, 17]"
17,"[17, 17]"
17,"[17, 17]"
17,"[17, 17, 17, 17]"
17,"[17, 17, 17]"
0,"[5, 15]"
4,"[4, 17, 17]"
17,"[9, 17, 17, 17]"
17,"[17, 17]"
10,"[6, 10, 17, 17, 17, 17]"
17,"[17, 9, 9, 17, 17]"
17,"[17, 17, 17]"
17,[17]
0,"[0, 11, 17, 17, 11, 17]"
0,"[5, 0, 17, 17, 17]"
0,"[0, 0, 0, 17, 0, 17, 17]"
0,"[0, 17, 0, 17, 17]"
0,"[0, 9, 17]"
11,"[2, 10, 2, 11, 17]"
17,"[17, 17, 17, 17]"
4,"[17, 4]"
17,"[17, 17]"
4,"[4, 0, 4, 0, 17, 17]"
17,"[17, 17]"
17,"[17, 17, 17, 17]"
0,"[0, 10, 17]"
3,"[3, 17]"
0,"[17, 0, 17]"
17,"[17, 10, 17]"
17,"[17, 17, 17, 17]"
3,"[3, 17]"
17,"[9, 17, 17, 17]"
17,"[17, 17]"
17,"[17, 17]"
10,"[2, 10, 1, 17, 17]"
0,"[17, 15, 17, 17, 17, 17, 17]"
0,"[0, 11, 17]"
4,"[4, 11]"
1,"[1, 17]"
5,"[5, 17, 17]"
0,"[5, 0, 17]"
17,"[17, 17, 17]"
11,"[4, 11]"
17,[17]
17,"[15, 9, 17, 17, 17]"
11,"[1, 11]"
4,"[4, 3, 4]"
17,"[5, 17, 17]"
3,[3]
17,"[1, 17, 17]"
17,"[9, 17, 17, 17]"
17,"[17, 17, 17]"
0,"[0, 9, 9, 0, 17, 17]"
4,"[4, 3, 4, 17]"
0,"[0, 0, 0, 17, 0, 17, 17]"
17,"[17, 17, 17]"
17,"[10, 1, 17, 17]"
17,"[4, 17, 17]"
17,"[17, 17]"
17,"[17, 17]"
4,"[4, 11, 17]"
17,"[17, 0, 0, 0, 17, 0, 17]"
1,"[1, 17, 17]"
0,"[0, 17]"
17,"[17, 10, 17]"
0,"[0, 17, 17]"
17,"[5, 17, 17, 17]"
4,"[4, 0, 0, 17, 17]"
0,"[0, 17, 9, 0, 17, 17]"
5,"[5, 17, 5, 17, 17, 17]"
0,"[0, 0, 17, 17, 17]"
15,"[15, 14]"
17,"[0, 17, 3, 17, 17, 17, 17, 17]"
17,"[1, 17, 17]"
17,"[17, 2, 17]"
3,"[3, 1]"
10,"[10, 17, 17]"
0,"[17, 0, 17, 17]"
1,"[1, 17]"
17,"[2, 4, 17, 17]"
17,"[2, 17, 10, 17]"
17,"[17, 1]"
11,"[10, 11]"
17,"[17, 17, 17]"
17,"[5, 17, 17]"
17,"[4, 1, 17]"
17,"[10, 1, 17, 17]"
0,"[0, 17]"
0,"[0, 17, 17]"
17,"[17, 9]"
17,"[17, 17]"
17,"[17, 17, 17, 17]"
15,"[15, 14]"
17,"[0, 17, 17]"
1,"[10, 1]"
0,"[0, 0, 0, 17, 0, 17, 17]"
0,"[5, 0, 17, 17]"
17,"[9, 17]"
17,"[17, 1]"
11,"[6, 10, 11]"
11,[11]
17,"[10, 17, 17]"
17,"[17, 17, 9, 17, 17, 17]"
17,"[17, 17, 17, 17]"
0,"[0, 17, 17, 17]"
17,"[17, 17, 1]"
14,"[15, 14]"
15,"[5, 15]"
2,"[2, 4, 2, 4]"
4,"[4, 3, 4, 17]"
4,"[4, 3, 17]"
3,"[2, 3]"
4,"[17, 4, 8, 3, 4, 17, 17]"
3,"[4, 4, 17, 17, 3]"
4,"[4, 4, 17, 17]"
4,"[4, 4]"
3,"[17, 2, 3]"
2,"[2, 4, 2]"
3,"[2, 4, 4, 17]"
3,"[4, 3]"
2,"[2, 4, 17, 17, 17, 17]"
3,"[4, 3, 17, 17, 17]"
4,"[17, 4, 8, 4, 17]"
4,"[4, 3]"
4,"[4, 3, 17]"
3,"[17, 2, 4, 8, 3, 17, 17, 17, 4]"
2,"[3, 17]"
4,"[4, 3, 17, 17]"
3,"[4, 3, 4, 17, 17, 17, 17, 17, 17, 4]"
4,"[4, 3, 17]"
2,"[2, 2]"
2,"[2, 3, 17]"
3,"[4, 3]"
3,"[4, 3, 4, 17, 17, 17, 17, 17, 4]"
3,"[4, 3, 4]"
3,"[4, 3]"
4,"[4, 3, 4, 17]"
3,"[4, 3]"
4,"[2, 4, 17]"
2,"[17, 2, 4, 8, 4, 17]"
2,"[2, 3, 2, 17]"
4,"[4, 4, 17, 3]"
2,"[2, 2]"
2,"[2, 4, 17, 17]"
2,[3]
4,"[4, 3, 4]"
3,"[4, 3, 4, 17]"
3,"[6, 4, 3, 4]"
4,"[4, 3, 17, 17, 17, 4]"
2,"[2, 3, 2]"
